Product Name,Color,Product URL,Unique Color ID,Price Before,Price After
Selah Silk Dress,Blue Iris,https://www.thereformation.com/products/selah-silk-dress/1315459LEE.html?dwvar_1315459LEE_color=UER,B12U5I18I19,$378,$113.40
Topanga Dress,Alma,https://www.thereformation.com/products/topanga-dress/1314674LKU.html?dwvar_1314674LKU_color=AAM,A12M1,$198,$99
Topanga Dress,Larkspur,https://www.thereformation.com/products/topanga-dress/1314674LKU.html?dwvar_1314674LKU_color=LKU,L1R11S16U18,$198,$99
Parma Silk Dress,Black,https://www.thereformation.com/products/parma-silk-dress/1308597LFA.html?dwvar_1308597LFA_color=BLK,B12A3K,$348,$139.20
Parma Silk Dress,Beatriz,https://www.thereformation.com/products/parma-silk-dress/1308597LFA.html?dwvar_1308597LFA_color=BTZ,B5A20R9Z,$348,$139.20
Parma Silk Dress,Diamante,https://www.thereformation.com/products/parma-silk-dress/1308597LFA.html?dwvar_1308597LFA_color=DIT,D9A13A14T5,$348,$139.20
Parma Silk Dress,Golden Hour,https://www.thereformation.com/products/parma-silk-dress/1308597LFA.html?dwvar_1308597LFA_color=GDU,G15L4E14H15U18,$348,$139.20
Parma Silk Dress,Leaf,https://www.thereformation.com/products/parma-silk-dress/1308597LFA.html?dwvar_1308597LFA_color=LFA,L5A6,$348,$139.20
Parma Silk Dress,Lipstick,https://www.thereformation.com/products/parma-silk-dress/1308597LFA.html?dwvar_1308597LFA_color=LPS,L9P19T9C11,$348,$139.20
Parma Silk Dress,Night Garden,https://www.thereformation.com/products/parma-silk-dress/1308597LFA.html?dwvar_1308597LFA_color=NGD,N9G8T7A18D5,$348,$139.20
Parma Silk Dress,Popsicle Stripe,https://www.thereformation.com/products/parma-silk-dress/1308597LFA.html?dwvar_1308597LFA_color=PSI,P15P19I3L5S20,$348,$139.20
Parma Silk Dress,Swoon,https://www.thereformation.com/products/parma-silk-dress/1308597LFA.html?dwvar_1308597LFA_color=SWO,S23O15N,$348,$139.20
