Product Name,Product URL,Scraped Image URL
Rhinestone T-shirt,https://us.sandro-paris.com/en/p/rhinestone-t-shirt/MFPTS00840_10.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw2fa54e70/images/hi-res/Maje_MFPTS00840-10_H_1.jpg?sw=720&sh=955
Rhinestone denim shorts,https://us.sandro-paris.com/en/p/rhinestone-denim-shorts/MFPSH00547_10.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw268ddcee/images/hi-res/Maje_MFPSH00547-10_H_1.jpg?sw=720&sh=955
Knit cardigan,https://us.sandro-paris.com/en/p/knit-cardigan/MFPCA00488_0101.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw31de5225/images/hi-res/Maje_MFPCA00488-0101_H_1.jpg?sw=720&sh=955
Short tweed jacket,https://us.sandro-paris.com/en/p/short-tweed-jacket/MFPBL00718_0515.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw8cc4b912/images/hi-res/Maje_MFPBL00718-0515_H_1.jpg?sw=720&sh=955
Short tweed dress,https://us.sandro-paris.com/en/p/short-tweed-dress/MFPRO03544_0515.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw1e1e070c/images/hi-res/Maje_MFPRO03544-0515_H_1.jpg?sw=720&sh=955
Asymmetrical tweed miniskirt,https://us.sandro-paris.com/en/p/asymmetrical-tweed-miniskirt/MFPJU01208_0515.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw8cc7f3ea/images/hi-res/Maje_MFPJU01208-0515_H_1.jpg?sw=720&sh=955
Maje 1998 T-shirt,https://us.sandro-paris.com/en/p/maje-1998-t-shirt/MFPTS00815_10.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw395d1b03/images/hi-res/Maje_MFPTS00815-10_H_1.jpg?sw=720&sh=955
Rhinestone T-shirt,https://us.sandro-paris.com/en/p/rhinestone-t-shirt/MFPTS00832_2507.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw6f40cfac/images/hi-res/Maje_MFPTS00832-2507_H_1.jpg?sw=720&sh=955
Three-tone crochet dress,https://us.sandro-paris.com/en/p/three-tone-crochet-dress/MFPRO03574_0201.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwb3111112/images/hi-res/Maje_MFPRO03574-0201_H_1.jpg?sw=720&sh=955
Three-tone crochet top,https://us.sandro-paris.com/en/p/three-tone-crochet-top/MFPTO01002_0201.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw53606363/images/hi-res/Maje_MFPTO01002-0201_H_1.jpg?sw=720&sh=955
Three-tone crochet shorts,https://us.sandro-paris.com/en/p/three-tone-crochet-shorts/MFPSH00565_0201.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw6dda5b60/images/hi-res/Maje_MFPSH00565-0201_H_1.jpg?sw=720&sh=955
